"Name","Pop","WorldPop","GrowthRate","PopDensity"
"World",7794798739,1,"0.0105","52.3352"
"South Central Asia",2014708562,"0.2585","0.0117","195.0929"
"Southern Asia",1940369612,"0.2489","0.0116","303.1767"
"Eastern Asia",1678089619,"0.2153","0.0033","145.1577"
"Sub Saharan Africa",1094365629,"0.1404","0.0263","46.3371"
"South Eastern Asia",668619840,"0.0858","0.0100","154.0350"
"Latin America",653962331,"0.0839","0.0090","34.0659"
"Eastern Africa",445405606,"0.0571","0.0265","66.8026"
"Western Africa","401861254.0000","0.0516","0.0266","66.2693"
"Eastern Europe",293013231,"0.0376","-0.0015","16.2309"
"Western Asia","279636754.0000","0.0359","0.0157","58.1963"
"Northern Africa",246232518,"0.0316","0.0184","31.6924"
"Western Europe","196146316.0000","0.0252","0.0032","180.8145"
"Central America",179670200,"0.0231","0.0117","343.0261"
"Middle Africa",179595134,"0.0230","0.0303","27.6435"
"Southern Europe",152215230,"0.0195","-0.0015","117.5480"
"Northern Europe","106261249.0000","0.0136","0.0047","62.4178"
"Central Asia",74338950,"0.0095","0.0154","18.5687"
"Southern Africa",67503635,"0.0087","0.0131","25.4666"
"Caribbean",43532365,"0.0056","0.0046","15.8070"
"Melanesia","11122996.0000","0.0014","0.0187","21.0030"
"Polynesia",683786,"0.0001","0.0059","84.5224"
"Micronesia",548914,"0.0001","0.0100","784.1629"
"The Middle East",0,0,0,0
"Antarctica",0,0,0,0